Displacement (mm),Load (kN),Engineering Stress (GPa)
0.541745,1.94563,0.392270271
0.543449,1.94832,0.392812618
0.544985,1.94966,0.393082784
0.546519,1.95033,0.393217867
0.548223,1.95234,0.393623115
0.55044,1.95503,0.394165462
0.552144,1.95436,0.394030379
0.55453,1.95503,0.394165462
0.555724,1.95973,0.395113058
0.55777,1.96308,0.395788472
0.559645,1.96174,0.395518306
0.560667,1.95973,0.395113058
0.562883,1.96241,0.395653389
0.564589,1.96979,0.397141315
0.566633,1.96979,0.397141315
0.568339,1.96845,0.39687115
0.569873,1.96979,0.397141315
0.571577,1.97315,0.397818745
0.57277,1.97516,0.398223994
0.574816,1.97449,0.398088911
0.576692,1.97651,0.398496175
0.578566,1.9812,0.399441755
0.581294,1.98187,0.399576837
0.582487,1.98053,0.399306672
0.584021,1.9812,0.399441755
0.585726,1.98456,0.400119185
0.587261,1.9859,0.40038935
0.589477,1.98791,0.400794598
0.591181,1.98791,0.400794598
0.593567,1.99194,0.401607111
0.595443,1.99261,0.401742194
0.596806,1.99261,0.401742194
0.59834,1.99261,0.401742194
0.599704,1.99798,0.402824872
0.60209,1.99798,0.402824872
0.603454,1.99798,0.402824872
0.605841,2.00067,0.40336722
0.607546,2.00536,0.404312799
0.609251,2.00402,0.404042633
0.610955,2.00469,0.404177716
0.612319,2.00402,0.404042633
0.614365,2.00872,0.404990229
0.61641,2.0114,0.40553056
0.618456,2.01073,0.405395477
0.620502,2.01006,0.405260394
0.622206,2.01409,0.406072907
0.624252,2.01744,0.406748321
0.625956,2.0161,0.406478155
0.626979,2.0161,0.406478155
0.629025,2.01946,0.407155585
0.631071,2.02147,0.407560834
0.632775,2.02147,0.407560834
0.634821,2.02214,0.407695916
0.636185,2.02483,0.408238264
0.63823,2.02684,0.408643512
0.639594,2.02684,0.408643512
0.641298,2.02751,0.408778595
0.643685,2.03154,0.409591108
0.645048,2.03154,0.409591108
0.647436,2.03154,0.409591108
0.648799,2.03355,0.409996356
0.650844,2.03758,0.410808869
0.652549,2.03892,0.411079034
0.654254,2.03892,0.411079034
0.656641,2.03892,0.411079034
0.658345,2.04026,0.4113492
0.660391,2.04161,0.411621381
0.662437,2.04496,0.412296795
0.664141,2.04429,0.412161712
0.666187,2.04563,0.412431878
0.66755,2.0463,0.412566961
0.669596,2.04765,0.412839142
0.6713,2.05033,0.413379473
0.673688,2.05369,0.414056903
0.675733,2.05234,0.413784722
